PROG,ESCUELA,,EDAD,RV,RM,REI,TOTAL,ESTATUS,PROMEDIO
IDGD,Ing,21,2,627,665,740,1292,AP  ,80
IDGD,Ing,18,2,576,588,463,1164,AP  ,78
IDGD,Ing,18,1,500,504,592,1004,CON ,88
IDGD,Ing,18,2,581,536,538,1117,AP  ,84
IDGD,Ing,18,2,566,662,576,1228,AP  ,89
IDGD,Ing,18,1,679,672,656,1351,AP  ,87
IDGD,Ing,18,2,521,471,440,992,CON,81
IDGD,Ing,21,2,613,788,656,1401,AP,91
IDGD,Ing,18,2,463,620,560,1083,CON ,85
IER,Ing,24,2,538,567,415,1105,AP  ,83
IER,Ing,18,1,575,569,582,1144,AP  ,89
IER,Ing,18,1,651,504,624,1155,AP  ,91
IER,Ing,18,2,491,577,479,1068,CON ,87
IER,Ing,24,2,522,462,487,984,CON ,82
IER,Ing,18,1,576,609,543,1185,AP,88
IER,Ing,18,2,638,800,661,1438,AP  ,92
IER,Ing,18,2,638,654,692,1292,AP  ,91
IIND,Ing,18,1,679,756,688,1435,AP  ,99
IIND,Ing,18,2,566,746,640,1312,AP  ,97
IIND,Ing,18,1,585,714,720,1299,AP  ,94
IIND,Ing,18,2,566,588,608,1154,AP  ,91
IIND,Ing,24,2,596,515,487,1111,AP  ,84
IIND,Ing,18,2,566,756,656,1322,AP  ,92
IIND,Ing,21,2,491,567,479,1058,CON,93
IIND,Ing,18,2,632,735,640,1367,AP  ,90
IIND,Ing,21,2,711,772,771,1483,AP,95
IM,Ing,24,2,551,514,342,1065,CON ,88
IM,Ing,21,2,596,675,629,1271,AP  ,89
IM,Ing,21,2,519,714,576,1233,AP,81
IM,Ing,21,2,604,767,640,1371,AP,90
IM,Ing,18,2,651,683,704,1334,AP  ,85
IMEC,Ing,18,2,519,546,560,1065,CON ,90
IMEC,Ing,18,2,576,746,576,1322,AP  ,95
IMEC,Ing,18,2,533,686,487,1219,AP,88
IMEC,Ing,18,2,638,750,708,1388,AP  ,90
IMEC,Ing,18,1,604,714,624,1318,AP  ,96
IMEC,Ing,18,2,617,675,471,1292,AP  ,85
IMEC,Ing,18,2,585,767,608,1352,AP  ,95
IMEC,Ing,18,2,510,746,608,1256,AP  ,91
IMEC,Ing,21,2,462,513,0,975,CON,33
IMEC,Ing,18,1,585,665,550,1250,AP,99
IMEC,Ing,18,2,481,472,527,953,CON ,90
IS,Ing,18,2,623,451,656,1074,CON ,85
IS,Ing,18,2,522,537,455,1059,CON,81
IS,Ing,18,1,613,662,688,1275,AP  ,99
IS,Ing,18,2,500,472,335,972,CON ,82
IS,Ing,18,2,659,654,613,1313,AP  ,97
IS,Ing,21,2,533,483,439,1016,CON ,78
IS,Ing,18,1,680,643,645,1323,AP  ,86
IS,Ing,18,2,604,641,624,1245,AP  ,83
IS,Ing,18,2,604,767,688,1371,AP  ,92
IS,Ing,24,1,663,664,689,1327,AP,89
IS,Ing,24,1,575,675,471,1250,AP,81
IS,Ing,18,2,650,740,0,1390,AP,95
IS,Ing,18,2,659,729,661,1388,AP,93
IS,Ing,18,2,632,556,608,1188,AP  ,95
IS,Ing,18,2,538,725,656,1263,AP  ,99
LAM,AyN,18,2,594,609,511,1203,AP  ,88
LAM,AyN,18,2,491,514,415,1005,CON ,88
LAM,AyN,18,1,554,483,455,1037,CON ,83
LAM,AyN,18,1,566,535,479,1101,AP  ,83
LAM,AyN,18,2,651,599,543,1250,AP  ,91
LAM,AyN,18,1,623,704,640,1327,AP  ,93
LAM,AyN,18,2,660,767,688,1427,AP,94
LDG,AyN,18,1,519,641,656,1160,AP  ,92
LDG,AyN,18,1,623,683,511,1306,AP  ,98
LDG,AyN,21,1,701,633,566,1334,AP  ,85
LDG,AyN,18,1,383,406,506,789,NP,77
LDG,AyN,18,1,538,662,608,1200,AP  ,89
LDG,AyN,18,1,604,746,656,1350,AP  ,92
LDG,AyN,18,1,594,672,736,1266,AP  ,82
LDN,AyN,18,2,629,611,593,1240,AP,85
LLI,AyN,18,2,463,567,463,1030,CON ,84
LLI,AyN,18,2,651,788,704,1439,AP  ,94
LLI,AyN,18,1,689,756,688,1445,AP  ,100
LLI,AyN,18,1,613,577,624,1190,AP  ,95
LNI,AyN,18,1,512,526,613,1038,CON ,86
LNI,AyN,18,2,543,611,471,1154,AP  ,85
LNI,AyN,18,1,576,525,576,1101,AP  ,87
LNI,AyN,18,1,491,526,502,1017,CON ,87
LNI,AyN,18,1,463,546,640,1009,CON ,96
LNI,AyN,18,1,500,472,447,972,CON ,91
LNI,AyN,18,2,576,409,527,985,CON ,86
LNI,AyN,18,2,566,777,527,1343,AP  ,91
LNI,AyN,18,2,566,599,527,1165,AP  ,81
LNI,AyN,18,2,623,630,688,1253,AP  ,86
LNI,AyN,18,2,510,577,527,1087,CON ,84
LNI,AyN,18,1,651,620,560,1271,AP  ,91
LNI,AyN,18,1,617,718,502,1335,AP  ,86
LNI,AyN,18,1,660,535,608,1195,AP  ,92
LNI,AyN,18,2,585,577,624,1162,AP  ,85
LNI,AyN,18,1,585,556,608,1141,AP  ,86
LNI,AyN,18,2,564,718,534,1282,AP,24
LNI,AyN,21,2,585,505,455,1090,CON,79
LNI,AyN,21,2,522,526,455,1048,CON ,78
LNI,AyN,21,2,533,515,566,1048,CON ,84
